date,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after,k_factor
2018-06-01,Angola,Malawi,0.0,0.0,1500.0,1500.0179886355781,1500.0,1500.0179886355781,0.0
2018-06-01,India,Taiwan,5.0,0.0,1500.0,1500.0,1500.0,1500.0,0.0
2018-06-01,Malta,Georgia,0.0,1.0,1495.0534472805027,1504.9820113644219,1492.624869601158,1507.4105890437665,5.0
2018-06-02,Niger,Uganda,2.0,1.0,1500.0179886355781,1499.9820113644219,1502.5177297583034,1497.4822702416966,5.0
2018-06-02,Austria,Germany,2.0,1.0,1507.42806407917,1497.5179886355781,1509.8567746865958,1495.0892780281524,5.0
2018-06-02,Sweden,Denmark,0.0,0.0,1497.500129431888,1500.0359772711563,1497.518375999857,1500.0177307031872,5.0
2018-06-02,Belgium,Portugal,0.0,0.0,1502.499744828117,1500.000387290043,1502.4817608151848,1500.018371302975,5.0
2018-06-02,Republic of Ireland,United States,2.0,1.0,1495.0179886355781,1504.9640245914547,1497.5895365736667,1502.3924766533662,5.0
2018-06-02,Iceland,Norway,2.0,3.0,1499.946681246467,1504.9820113644219,1497.4829108226304,1507.4457817882585,5.0
2018-06-02,Mexico,Scotland,1.0,0.0,1502.4459167662465,1497.5359726284623,1504.9105892299349,1495.071300164774,5.0
2018-06-02,Montenegro,Slovenia,0.0,2.0,1500.0179877041924,1495.0359744773523,1497.482141694179,1497.5718204873656,5.0
2018-06-02,England,Nigeria,2.0,1.0,1502.4640245914547,1499.946165374459,1504.9459074551814,1497.4642825107323,5.0
2018-06-02,El Salvador,Honduras,1.0,0.0,1500.0,1497.499229886665,1502.4820058232979,1495.0172240633672,5.0
2018-06-02,Kenya,New Zealand,2.0,1.0,1497.553834632193,1497.5,1497.553834632193,1497.5,0.0
2018-06-02,Thailand,China PR,0.0,2.0,1497.5179886355781,1497.5359754085453,1495.0181180608133,1500.03584598331,5.0
